class_id,Modality,F1
20,Agent0,0.666666666666125
18,Agent0,0.780487804877511
13,Agent0,0.6857142857137567
11,Agent0,0.6792452830183439
12,Agent0,0.3783783783778612
22,Agent0,0.3809523809518549
20,Agent1,0.2499999999994931
18,Agent1,0.2666666666662045
13,Agent1,0.3076923076917922
11,Agent1,0.3768115942024053
12,Agent1,0.6341463414628841
22,Agent1,0.437499999999504
20,B0,0.2499999999994931
18,B0,0.2666666666662045
13,B0,0.3076923076917922
11,B0,0.3768115942024053
12,B0,0.6341463414628841
22,B0,0.437499999999504
20,M1,0.39999999999954
18,M1,0.5714285714281224
13,M1,0.5957446808505495
11,M1,0.5862068965512045
12,M1,0.8108108108102704
22,M1,0.4210526315784376
