round,ground_truth,correct_percentage,loss,prediction,agent0hw,agent1hw
0,13,0.00%,4.8644,17,0.454679221,0.545320809
1,7,0.00%,3.7741,21,0.421418041,0.578581989
2,25,0.00%,3.5827,17,0.376368552,0.623631418
3,3,0.00%,3.3633,17,0.341704518,0.658295453
4,10,0.00%,4.0526,23,0.292630076,0.707369924
5,6,0.00%,3.2081,21,0.266062886,0.733937144
6,1,0.00%,2.6607,17,0.235514298,0.764485717
7,14,0.00%,4.0392,17,0.208825067,0.791174948
8,18,0.00%,3.7498,21,0.167867497,0.832132518
9,5,0.00%,3.6988,23,0.143548027,0.856451929
10,7,0.00%,3.1264,17,0.127785847,0.872214139
11,3,0.00%,3.23,17,0.112283304,0.887716711
12,14,0.00%,3.6037,17,0.099545039,0.900454998
13,4,0.00%,3.0368,23,0.086833194,0.913166821
14,9,0.00%,3.3237,6,0.075171746,0.924828291
15,24,0.00%,3.557,17,0.063096449,0.936903536
16,3,0.00%,2.9624,14,0.055048555,0.944951415
17,3,0.00%,5.018,6,0.046405662,0.953594387
18,2,0.00%,3.3269,17,0.041628808,0.958371222
19,13,0.00%,3.5171,22,0.034757279,0.965242743
20,7,0.00%,2.6456,21,0.030510264,0.969489753
21,3,0.00%,3.2057,4,0.026497953,0.97350204
22,26,0.00%,4.5029,1,0.02265718,0.977342784
23,7,0.00%,2.5587,1,0.021689745,0.978310227
24,17,0.00%,3.916,15,0.018528145,0.981471837
25,2,0.00%,3.0747,1,0.015366559,0.984633446
26,7,0.00%,2.5967,24,0.012748371,0.987251639
27,27,0.00%,3.4822,5,0.010784665,0.989215314
28,26,0.00%,4.4852,21,0.009154799,0.990845203
29,16,0.00%,3.7176,14,0.008160376,0.991839588
30,2,0.00%,2.9555,17,0.006934158,0.993065834
31,5,0.00%,2.5005,8,0.005933376,0.994066656
32,17,0.00%,3.5865,5,0.005076891,0.994923115
33,9,0.00%,3.3778,1,0.004331109,0.995668888
34,9,0.00%,2.9033,1,0.003669363,0.996330678
35,5,0.00%,4.1604,7,0.003095346,0.996904671
36,5,0.00%,2.8049,20,0.002701912,0.997298121
37,5,0.00%,2.4517,0,0.002345053,0.997654915
38,10,0.00%,4.1919,13,0.002009254,0.997990727
39,26,0.00%,4.3702,7,0.001749012,0.998250961
40,26,0.00%,4.2763,7,0.001478853,0.998521149
41,16,0.00%,3.7333,14,0.001209968,0.998790026
42,6,0.00%,2.9623,21,0.001037269,0.9989627
43,2,0.00%,2.6577,17,0.001000062,0.998999953
44,15,0.00%,3.7309,14,0.001000004,0.999000013
45,3,0.00%,3.6629,4,0.001000428,0.998999596
46,16,0.00%,3.5168,4,0.001000145,0.998999894
47,6,0.00%,3.0198,5,0.001100216,0.998899817
48,3,0.00%,2.7915,4,0.001004085,0.9989959
49,2,0.00%,2.5047,17,0.00100179,0.998998225
50,7,1.96%,2.5446,7,0.001003687,0.998996317
51,26,1.92%,3.9238,21,0.001000008,0.999000013
52,17,1.89%,3.8506,4,0.001000113,0.998999894
53,5,1.85%,2.1558,23,0.001001313,0.998998702
54,12,1.82%,4.2278,7,0.001002079,0.998997927
55,14,1.79%,3.053,17,0.001002878,0.998997152
56,17,1.75%,3.6461,4,0.00100122,0.998998821
57,3,1.72%,4.1986,4,0.001000282,0.998999715
58,0,1.69%,4.3553,17,0.001000062,0.998999953
59,16,1.67%,2.8132,14,0.001000394,0.998999596
60,8,1.64%,3.3282,17,0.001018346,0.998981655
61,21,1.61%,3.3644,2,0.001000025,0.999000013
62,13,1.59%,3.4462,20,0.001003465,0.998996556
63,14,1.56%,3.0104,2,0.001006828,0.998993158
64,16,1.54%,3.3787,2,0.001000428,0.998999596
65,3,1.52%,2.7333,4,0.001000094,0.998999894
66,27,1.49%,2.9898,6,0.001006387,0.998993635
67,17,1.47%,3.189,6,0.001002027,0.998997986
68,27,1.45%,4.1951,4,0.00101417,0.998985827
69,18,1.43%,4.1952,21,0.001001771,0.998998225
70,16,1.41%,2.5332,14,0.0010002,0.998999834
71,25,1.39%,3.2698,14,0.001000537,0.998999476
72,4,1.37%,3.8046,25,0.001000008,0.999000013
