round,ground_truth,correct_percentage,loss,prediction,agent0hw,agent1hw
0,12,0.00%,2.1523,13,0.7136352062225342,0.28636476397514343
1,15,0.00%,2.9948,27,0.8156499862670898,0.18435004353523254
2,1,0.00%,4.0509,12,0.9026312232017517,0.097368777
3,4,0.00%,3.4591,12,0.9439811110496521,0.056018889
4,0,0.00%,3.0386,5,0.972504735,0.027495252
5,6,0.00%,4.269,12,0.9859453439712524,0.014054665341973305
6,7,0.00%,4.1745,12,0.9893056750297546,0.010694303549826145
7,2,0.00%,3.922,12,0.9951755404472351,0.0048245
8,14,0.00%,2.2795,22,0.9976740479469299,0.002325928
9,3,0.00%,3.0641,19,0.9984741806983948,0.00152579
10,0,0.00%,4.606,12,0.9989991784095764,0.001000823
11,13,0.00%,2.1077,12,0.9990000128746033,0.001000014
12,16,0.00%,4.3734,12,0.9990000128746033,0.001000002
13,8,0.00%,4.6255,15,0.9989926218986511,0.001007382
14,5,0.00%,3.6829,12,0.9989984035491943,0.001001633
15,12,6.25%,3.02,12,0.9989970326423645,0.001002954
16,7,11.76%,2.7281,7,0.998996913,0.001003126
17,8,11.11%,4.4257,15,0.998999298,0.001000719
18,4,10.53%,3.4164,12,0.998998761,0.001001249
19,2,10.00%,3.7198,12,0.9989997148513794,0.001000321
20,26,9.52%,4.0138,12,0.9989993572235107,0.001000669
21,4,9.09%,3.6627,12,0.9989983439445496,0.00100168
22,14,8.70%,2.5731,10,0.998998761,0.001001267
23,1,8.33%,2.0489,12,0.998997688,0.001002317
24,3,8.00%,3.3698,22,0.9989982843399048,0.001001721
25,9,7.69%,4.2014,5,0.9989743828773499,0.001025659
26,10,7.41%,3.1209,12,0.9989999532699585,0.001000041
27,20,7.14%,4.1627,5,0.9989991784095764,0.00100081
28,26,6.90%,4.083,12,0.9989902973175049,0.001009716
29,19,6.67%,4.1448,12,0.9989985227584839,0.001001513
30,1,6.45%,3.1516,12,0.9989919662475586,0.001008048
31,6,6.25%,4.5287,12,0.998999834,0.001000178
32,6,6.06%,4.6764,12,0.9989970922470093,0.001002925
33,6,5.88%,4.5184,12,0.9989972114562988,0.001002805
34,18,5.71%,4.1257,9,0.9989976286888123,0.001002385
35,5,5.56%,3.8205,12,0.9989967942237854,0.001003239
36,9,5.41%,4.6012,25,0.9989994168281555,0.001000621
37,0,5.26%,4.4989,5,0.9989999532699585,0.001000085
38,0,5.13%,4.3401,12,0.9989999532699585,0.001000051
39,19,5.00%,3.4423,7,0.9989972710609436,0.001002752
40,23,4.88%,3.3377,10,0.9989999532699585,0.001000059
41,11,4.76%,3.8513,12,0.9989991784095764,0.00100085
42,12,6.98%,2.5628,12,0.9989892840385437,0.001010719
43,8,6.82%,3.7886,12,0.9989914298057556,0.001008562
44,27,8.89%,2.6018,27,0.9989929795265198,0.001007025
45,25,8.70%,3.8847,12,0.9989972114562988,0.001002831
46,8,8.51%,3.6209,12,0.9989999532699585,0.001000031
47,26,8.33%,3.6259,12,0.9989999532699585,0.001000047
48,16,8.16%,3.2119,12,0.9989981055259705,0.001001885
49,7,8.00%,3.2884,12,0.9989920258522034,0.001008006
50,0,7.84%,4.3619,12,0.9989961385726929,0.001003903
51,27,9.62%,2.4132,27,0.9989835619926453,0.001016475
52,0,9.43%,3.792,12,0.9990000128746033,0.001000021
53,23,9.26%,3.1925,12,0.998998225,0.001001765
54,9,9.09%,4.0896,25,0.9989823698997498,0.001017634
55,11,8.93%,3.4866,27,0.9989978075027466,0.001002219
56,17,8.77%,3.2134,12,0.998997152,0.00100288
57,24,8.62%,4.4013,1,0.9989997744560242,0.001000255
58,3,8.47%,3.0021,7,0.9989976286888123,0.001002413
59,8,8.33%,2.7811,5,0.9989988207817078,0.001001182
60,14,8.20%,2.1885,10,0.9989963173866272,0.001003707
61,9,8.06%,2.3968,27,0.9989998936653137,0.001000143
62,3,7.94%,3.4863,7,0.9989994168281555,0.0010006
63,6,7.81%,3.2217,7,0.9989997148513794,0.001000287
64,26,7.69%,3.7676,12,0.9989980459213257,0.001001948
65,21,7.58%,3.9763,16,0.9989997744560242,0.001000222
66,0,7.46%,4.1227,8,0.9989959001541138,0.001004126
67,0,7.35%,4.0028,12,0.9990000128746033,0.001000022
68,0,7.25%,3.2337,12,0.9990000128746033,0.001000017
69,2,7.14%,3.0643,27,0.9989999532699585,0.001000051
70,21,7.04%,4.3263,8,0.9990000128746033,0.001000012
71,0,6.94%,3.6993,4,0.9989999532699585,0.001000036
72,25,6.85%,3.6113,8,0.9989946484565735,0.001005388
73,16,6.76%,2.5893,9,0.9989994764328003,0.001000561
74,5,6.67%,3.2684,12,0.9989981651306152,0.00100186
75,23,6.58%,3.616,12,0.9989998936653137,0.001000099
76,4,6.49%,3.8416,16,0.9989993572235107,0.001000655
77,27,6.41%,3.1035,15,0.9989933371543884,0.00100669
78,22,6.33%,2.6755,8,0.9989984631538391,0.001001523
79,27,7.50%,2.9358,27,0.9989894032478333,0.001010614
80,16,7.41%,3.388,7,0.9989999532699585,0.001000055
81,9,7.32%,3.2579,27,0.9989451169967651,0.001054904
82,13,8.43%,3.4037,13,0.9989997148513794,0.001000289
83,2,8.33%,2.9144,12,0.9989998936653137,0.00100013
84,24,8.24%,3.6184,27,0.9990000128746033,0.001000003
85,1,8.14%,3.8754,12,0.9989894032478333,0.001010612
86,3,9.20%,2.7447,3,0.998997152,0.001002853
87,9,9.09%,2.6276,7,0.998975396,0.001024627
88,22,8.99%,4.1742,12,0.998987615,0.001012391
89,4,8.89%,3.0149,15,0.9989998936653137,0.001000114
90,27,8.79%,3.3466,0,0.9989901781082153,0.00100983
91,3,8.70%,4.7177,12,0.9989965558052063,0.001003476
92,21,8.60%,4.6283,4,0.9990000128746033,0.001000006
93,9,8.51%,3.6972,25,0.9989994168281555,0.001000577
94,4,8.42%,2.6477,26,0.9989994168281555,0.001000566
95,10,8.33%,3.7516,27,0.9989970922470093,0.001002899
96,9,8.25%,3.0105,25,0.9989941716194153,0.001005868
97,14,9.18%,2.6796,14,0.9989833831787109,0.001016648
98,26,9.09%,3.3648,12,0.9989997148513794,0.001000279
99,26,9.00%,3.629,19,0.9989997148513794,0.00100029
100,8,9.90%,3.4222,8,0.9989975094795227,0.001002494
101,25,9.80%,3.74,27,0.9990000128746033,0.001000016
102,8,9.71%,3.2107,27,0.9989891052246094,0.001010879
103,4,9.62%,2.7377,12,0.9989967942237854,0.001003247
104,13,9.52%,3.0197,9,0.9989994764328003,0.001000538
105,20,9.43%,3.6574,9,0.9989998936653137,0.001000097
106,15,9.35%,3.1865,27,0.9990000128746033,0.001000005
107,19,9.26%,2.8967,12,0.9989914894104004,0.00100853
108,1,9.17%,3.5066,0,0.9989907145500183,0.001009285
109,9,9.09%,2.7412,25,0.9989996552467346,0.001000367
110,13,9.01%,3.2977,8,0.9989999532699585,0.001000055
111,7,8.93%,2.3676,27,0.998999834,0.00100017
112,17,9.73%,2.5258,17,0.9989980459213257,0.001001974
113,17,9.65%,3.4142,9,0.998998761,0.001001247
114,24,9.57%,4.012,9,0.9989999532699585,0.001000054
115,14,9.48%,3.2088,9,0.9989927411079407,0.001007297
116,15,9.40%,3.6065,7,0.9989999532699585,0.001000061
117,24,9.32%,2.7265,12,0.9990000128746033,0.001000003
118,26,9.24%,3.2484,14,0.9989931583404541,0.001006874
119,7,9.17%,1.9222,9,0.9989992380142212,0.001000781
