round,modality,class_id,acc,support
0,fusion,0,0.0,0
0,fusion,1,0.0,0
0,fusion,2,0.0,0
0,fusion,3,0.0,1
0,fusion,4,0.0,0
0,fusion,5,0.0,0
0,fusion,6,0.0,0
0,fusion,7,0.0,0
0,fusion,8,0.0,0
0,fusion,9,0.0,0
0,fusion,10,0.0,0
0,fusion,11,0.0,0
0,fusion,12,0.0,0
0,fusion,13,0.0,0
0,fusion,14,0.0,0
0,fusion,15,0.0,0
0,fusion,16,0.0,0
0,fusion,17,0.0,0
0,fusion,18,0.0,0
0,fusion,19,0.0,0
0,fusion,20,0.0,0
0,fusion,21,0.0,0
0,fusion,22,0.0,0
0,fusion,23,0.0,0
0,fusion,24,0.0,0
0,fusion,25,0.0,0
0,fusion,26,0.0,0
0,fusion,27,0.0,0

0,agent_0,0,0.0,0
0,agent_0,1,0.0,0
0,agent_0,2,0.0,0
0,agent_0,3,1.0,1
0,agent_0,4,0.0,0
0,agent_0,5,0.0,0
0,agent_0,6,0.0,0
0,agent_0,7,0.0,0
0,agent_0,8,0.0,0
0,agent_0,9,0.0,0
0,agent_0,10,0.0,0
0,agent_0,11,0.0,0
0,agent_0,12,0.0,0
0,agent_0,13,0.0,0
0,agent_0,14,0.0,0
0,agent_0,15,0.0,0
0,agent_0,16,0.0,0
0,agent_0,17,0.0,0
0,agent_0,18,0.0,0
0,agent_0,19,0.0,0
0,agent_0,20,0.0,0
0,agent_0,21,0.0,0
0,agent_0,22,0.0,0
0,agent_0,23,0.0,0
0,agent_0,24,0.0,0
0,agent_0,25,0.0,0
0,agent_0,26,0.0,0
0,agent_0,27,0.0,0

0,agent_1,0,0.0,0
0,agent_1,1,0.0,0
0,agent_1,2,0.0,0
0,agent_1,3,0.0,1
0,agent_1,4,0.0,0
0,agent_1,5,0.0,0
0,agent_1,6,0.0,0
0,agent_1,7,0.0,0
0,agent_1,8,0.0,0
0,agent_1,9,0.0,0
0,agent_1,10,0.0,0
0,agent_1,11,0.0,0
0,agent_1,12,0.0,0
0,agent_1,13,0.0,0
0,agent_1,14,0.0,0
0,agent_1,15,0.0,0
0,agent_1,16,0.0,0
0,agent_1,17,0.0,0
0,agent_1,18,0.0,0
0,agent_1,19,0.0,0
0,agent_1,20,0.0,0
0,agent_1,21,0.0,0
0,agent_1,22,0.0,0
0,agent_1,23,0.0,0
0,agent_1,24,0.0,0
0,agent_1,25,0.0,0
0,agent_1,26,0.0,0
0,agent_1,27,0.0,0

100,fusion,0,0.0,5
100,fusion,1,0.0,3
100,fusion,2,0.0,5
100,fusion,3,0.0,3
100,fusion,4,0.0,6
100,fusion,5,0.0,5
100,fusion,6,0.0,6
100,fusion,7,0.0,6
100,fusion,8,0.0,5
100,fusion,9,0.0,2
100,fusion,10,0.0,3
100,fusion,11,0.0,2
100,fusion,12,0.5,2
100,fusion,13,0.0,4
100,fusion,14,0.0,3
100,fusion,15,0.6666666666666666,6
100,fusion,16,0.0,4
100,fusion,17,0.0,3
100,fusion,18,0.0,2
100,fusion,19,0.0,1
100,fusion,20,0.0,2
100,fusion,21,0.0,4
100,fusion,22,0.0,0
100,fusion,23,0.0,3
100,fusion,24,0.0,5
100,fusion,25,0.0,7
100,fusion,26,0.0,2
100,fusion,27,0.0,2

100,agent_0,0,1.0,5
100,agent_0,1,1.0,3
100,agent_0,2,1.0,5
100,agent_0,3,1.0,3
100,agent_0,4,1.0,6
100,agent_0,5,0.8,5
100,agent_0,6,1.0,6
100,agent_0,7,1.0,6
100,agent_0,8,0.8,5
100,agent_0,9,0.5,2
100,agent_0,10,1.0,3
100,agent_0,11,1.0,2
100,agent_0,12,1.0,2
100,agent_0,13,1.0,4
100,agent_0,14,1.0,3
100,agent_0,15,1.0,6
100,agent_0,16,1.0,4
100,agent_0,17,1.0,3
100,agent_0,18,1.0,2
100,agent_0,19,1.0,1
100,agent_0,20,1.0,2
100,agent_0,21,1.0,4
100,agent_0,22,0.0,0
100,agent_0,23,1.0,3
100,agent_0,24,1.0,5
100,agent_0,25,1.0,7
100,agent_0,26,1.0,2
100,agent_0,27,1.0,2

100,agent_1,0,0.2,5
100,agent_1,1,0.0,3
100,agent_1,2,0.0,5
100,agent_1,3,0.0,3
100,agent_1,4,0.0,6
