round,ground_truth,correct_percentage,loss,prediction,agent0hw,agent1hw
0,24,0.00%,3.3396,0,0.949999988079071,0.05000000074505806
1,5,0.00%,4.7568,14,0.05000000074505806,0.949999988079071
2,20,0.00%,4.2565,0,0.05000000074505806,0.949999988079071
3,9,0.00%,3.2856,21,0.05000000074505806,0.949999988079071
4,15,0.00%,3.8051,2,0.05000000074505806,0.949999988079071
5,8,0.00%,3.3480,3,0.05000000074505806,0.949999988079071
6,5,0.00%,4.7047,14,0.05000000074505806,0.949999988079071
7,5,0.00%,4.1490,3,0.05000000074505806,0.949999988079071
8,6,0.00%,2.6312,14,0.05000000074505806,0.949999988079071
9,2,0.00%,4.0533,19,0.05000000074505806,0.949999988079071
10,11,0.00%,3.5713,2,0.05000000074505806,0.949999988079071
11,4,0.00%,4.4358,3,0.05000000074505806,0.949999988079071
12,16,0.00%,3.7778,21,0.05000000074505806,0.949999988079071
13,3,0.00%,2.5019,0,0.05000000074505806,0.949999988079071
14,14,0.00%,2.9220,11,0.05000000074505806,0.949999988079071
15,17,0.00%,2.7237,0,0.05000000074505806,0.949999988079071
16,9,0.00%,2.8077,11,0.05000000074505806,0.949999988079071
17,15,0.00%,3.3415,11,0.05000000074505806,0.949999988079071
18,12,0.00%,5.1421,3,0.05000000074505806,0.949999988079071
19,2,0.00%,2.9792,0,0.05000000074505806,0.949999988079071
20,6,0.00%,3.2730,14,0.05000000074505806,0.949999988079071
21,13,0.00%,3.0876,3,0.05000000074505806,0.949999988079071
22,10,0.00%,2.7840,0,0.05000000074505806,0.949999988079071
23,26,0.00%,4.3128,11,0.05000000074505806,0.949999988079071
24,24,0.00%,2.5732,3,0.05000000074505806,0.949999988079071
25,2,0.00%,2.4402,19,0.05000000074505806,0.949999988079071
26,3,0.00%,2.4150,11,0.05000000074505806,0.949999988079071
27,14,0.00%,2.8829,3,0.05000000074505806,0.949999988079071
28,11,0.00%,2.9224,3,0.05000000074505806,0.949999988079071
29,0,0.00%,2.8884,3,0.05000000074505806,0.949999988079071
30,5,0.00%,3.4913,14,0.05000000074505806,0.949999988079071
31,9,0.00%,3.7228,3,0.05000000074505806,0.949999988079071
32,14,0.00%,3.2455,11,0.05000000074505806,0.949999988079071
33,23,0.00%,4.1346,10,0.05000000074505806,0.949999988079071
34,13,0.00%,2.8130,24,0.05000000074505806,0.949999988079071
35,7,0.00%,4.3539,11,0.05000000074505806,0.949999988079071
36,1,0.00%,4.8863,0,0.05000000074505806,0.949999988079071
37,5,0.00%,2.9406,14,0.05000000074505806,0.949999988079071
38,14,0.00%,2.7368,5,0.05000000074505806,0.949999988079071
39,18,0.00%,3.3504,21,0.05000000074505806,0.949999988079071
40,14,0.00%,2.6885,11,0.05000000074505806,0.949999988079071
41,26,0.00%,2.8995,3,0.05000000074505806,0.949999988079071
42,3,2.33%,2.7489,3,0.05000000074505806,0.949999988079071
43,2,2.27%,3.1678,19,0.05000000074505806,0.949999988079071
44,12,2.22%,4.4069,3,0.05000000074505806,0.949999988079071
45,18,2.17%,4.1279,11,0.05000000074505806,0.949999988079071
46,7,2.13%,3.9958,11,0.05000000074505806,0.949999988079071
47,15,2.08%,2.7170,11,0.05000000074505806,0.949999988079071
48,26,2.04%,2.6314,6,0.05000000074505806,0.949999988079071
49,2,2.00%,2.3529,0,0.05000000074505806,0.949999988079071
50,2,1.96%,3.2917,19,0.05000000074505806,0.949999988079071
51,1,1.92%,4.2300,0,0.05000000074505806,0.949999988079071
52,11,1.89%,2.2505,2,0.05000000074505806,0.949999988079071
53,7,1.85%,3.9967,11,0.05000000074505806,0.949999988079071
54,25,1.82%,4.0408,11,0.05000000074505806,0.949999988079071
55,9,1.79%,3.3653,11,0.05000000074505806,0.949999988079071
56,11,3.51%,2.1176,11,0.05000000074505806,0.949999988079071
57,20,3.45%,5.5210,11,0.05000000074505806,0.949999988079071
58,8,3.39%,3.1115,3,0.05000000074505806,0.949999988079071
59,24,3.33%,2.8153,3,0.05000000074505806,0.949999988079071
60,18,3.28%,3.1301,14,0.05000000074505806,0.949999988079071
61,10,3.23%,3.3084,11,0.05000000074505806,0.949999988079071
62,17,3.17%,3.2451,0,0.05000000074505806,0.949999988079071
63,14,3.12%,2.5575,11,0.05000000074505806,0.949999988079071
64,27,3.08%,4.1312,11,0.05000000074505806,0.949999988079071
65,0,3.03%,2.8417,21,0.05000000074505806,0.949999988079071
66,7,2.99%,3.9674,14,0.05000000074505806,0.949999988079071
67,11,2.94%,2.9625,2,0.05000000074505806,0.949999988079071
68,16,2.90%,3.5063,11,0.05000000074505806,0.949999988079071
69,26,2.86%,2.4967,11,0.05000000074505806,0.949999988079071
70,7,2.82%,3.5769,11,0.05000000074505806,0.949999988079071
71,14,2.78%,2.4234,11,0.05000000074505806,0.949999988079071
72,16,2.74%,3.4489,11,0.05000000074505806,0.949999988079071
73,9,2.70%,2.8925,11,0.05000000074505806,0.949999988079071
74,15,2.67%,2.6811,11,0.05000000074505806,0.949999988079071
75,5,2.63%,3.3596,11,0.05000000074505806,0.949999988079071
76,10,2.60%,3.4969,11,0.05000000074505806,0.949999988079071
77,13,2.56%,2.5877,11,0.05000000074505806,0.949999988079071
78,7,2.53%,3.3199,11,0.05000000074505806,0.949999988079071
79,6,2.50%,3.9428,14,0.05000000074505806,0.949999988079071
80,14,2.47%,3.1020,11,0.05000000074505806,0.949999988079071
81,7,2.44%,3.2930,14,0.05000000074505806,0.949999988079071
82,9,2.41%,3.1455,14,0.05000000074505806,0.949999988079071
83,17,2.38%,2.6030,11,0.05000000074505806,0.949999988079071
84,9,2.35%,2.2895,14,0.05000000074505806,0.949999988079071
85,0,2.33%,2.9546,21,0.05000000074505806,0.949999988079071
86,12,2.30%,3.6579,3,0.05000000074505806,0.949999988079071
87,3,2.27%,2.8217,0,0.05000000074505806,0.949999988079071
88,0,2.25%,2.7053,21,0.05000000074505806,0.949999988079071
89,27,2.22%,4.5113,14,0.05000000074505806,0.949999988079071
90,1,2.20%,3.9082,0,0.05000000074505806,0.949999988079071
91,8,2.17%,2.5331,24,0.05000000074505806,0.949999988079071
92,25,2.15%,3.6795,11,0.05000000074505806,0.949999988079071
93,10,2.13%,2.7394,11,0.05000000074505806,0.949999988079071
94,26,2.11%,2.1034,0,0.05000000074505806,0.949999988079071
95,11,2.08%,2.2680,0,0.05000000074505806,0.949999988079071
96,11,2.06%,2.3146,0,0.05000000074505806,0.949999988079071
97,24,2.04%,2.8586,8,0.05000000074505806,0.949999988079071
98,22,2.02%,3.5783,7,0.05000000074505806,0.949999988079071
99,6,2.00%,3.7115,11,0.05000000074505806,0.949999988079071
100,16,1.98%,3.4251,11,0.05000000074505806,0.949999988079071
101,7,1.96%,3.2804,11,0.05000000074505806,0.949999988079071
102,17,1.94%,2.5137,0,0.05000000074505806,0.949999988079071
103,4,1.92%,4.0391,0,0.05000000074505806,0.949999988079071
104,21,1.90%,3.4624,11,0.05000000074505806,0.949999988079071
105,8,1.89%,2.7408,11,0.05000000074505806,0.949999988079071
106,20,1.87%,3.2117,9,0.05000000074505806,0.949999988079071
107,3,1.85%,2.4542,0,0.05000000074505806,0.949999988079071
108,10,1.83%,2.8145,0,0.05000000074505806,0.949999988079071
109,15,1.82%,2.6374,11,0.05000000074505806,0.949999988079071
110,11,2.70%,2.0361,11,0.05000000074505806,0.949999988079071
111,12,2.68%,3.4553,11,0.05000000074505806,0.949999988079071
112,21,2.65%,3.4842,0,0.05000000074505806,0.949999988079071
113,16,2.63%,3.0946,11,0.05000000074505806,0.949999988079071
114,19,2.61%,5.1517,11,0.05000000074505806,0.949999988079071
115,6,2.59%,3.7317,11,0.05000000074505806,0.949999988079071
116,7,2.56%,3.0875,14,0.05000000074505806,0.949999988079071
117,4,2.54%,4.0992,11,0.05000000074505806,0.949999988079071
118,21,2.52%,3.2724,11,0.05000000074505806,0.949999988079071
119,17,2.50%,3.1753,11,0.05000000074505806,0.949999988079071
120,0,2.48%,2.8024,11,0.05000000074505806,0.949999988079071
121,9,2.46%,2.0989,11,0.05000000074505806,0.949999988079071
122,27,2.44%,4.8410,3,0.05000000074505806,0.949999988079071
123,1,2.42%,3.9081,11,0.05000000074505806,0.949999988079071
124,26,2.40%,1.8538,0,0.05000000074505806,0.949999988079071
125,3,2.38%,2.6471,0,0.05000000074505806,0.949999988079071
126,6,2.36%,3.5618,11,0.05000000074505806,0.949999988079071
127,10,2.34%,2.4172,11,0.05000000074505806,0.949999988079071
128,15,3.10%,2.5065,15,0.05000000074505806,0.949999988079071
129,6,3.08%,4.1892,14,0.05000000074505806,0.949999988079071
130,15,3.05%,2.3818,2,0.05000000074505806,0.949999988079071
131,27,3.03%,3.9691,11,0.05000000074505806,0.949999988079071
132,16,3.01%,3.1741,21,0.05000000074505806,0.949999988079071
133,14,3.73%,2.3758,14,0.05000000074505806,0.949999988079071
134,8,3.70%,3.7654,3,0.05000000074505806,0.949999988079071
135,9,3.68%,2.4569,14,0.05000000074505806,0.949999988079071
136,25,3.65%,3.4457,2,0.05000000074505806,0.949999988079071
137,23,3.62%,3.6611,2,0.05000000074505806,0.949999988079071
138,3,3.60%,2.7394,11,0.05000000074505806,0.949999988079071
139,18,3.57%,3.4819,21,0.05000000074505806,0.949999988079071
140,15,4.26%,2.0655,15,0.05000000074505806,0.949999988079071
141,17,4.23%,3.7240,0,0.05000000074505806,0.949999988079071
142,15,4.90%,2.1377,15,0.05000000074505806,0.949999988079071
143,24,4.86%,2.8737,9,0.05000000074505806,0.949999988079071
144,14,4.83%,2.7663,11,0.05000000074505806,0.949999988079071
145,6,4.79%,3.2981,15,0.05000000074505806,0.949999988079071
146,15,5.44%,1.9017,15,0.05000000074505806,0.949999988079071
147,2,6.08%,2.8825,2,0.05000000074505806,0.949999988079071
