round,ground_truth,correct_percentage,loss,prediction,hedge_weights
0,4,0.00%,4.7804,18,"[0.949999988079071, 0.05000000074505806]"
100,6,1.98%,4.0908,14,"[0.949999988079071, 0.05000000074505806]"
200,1,2.49%,2.7943,14,"[0.949999988079071, 0.05000000074505806]"
300,1,7.64%,2.1371,1,"[0.949999988079071, 0.05000000074505806]"
400,2,17.21%,2.8261,16,"[0.949999988079071, 0.05000000074505806]"
500,14,25.15%,2.2837,1,"[0.949999988079071, 0.05000000074505806]"
600,6,31.78%,1.7591,6,"[0.949999988079071, 0.05000000074505806]"
700,3,37.80%,0.4940,3,"[0.949999988079071, 0.05000000074505806]"
800,17,42.70%,0.6512,17,"[0.949999988079071, 0.05000000074505806]"
900,9,47.72%,0.7303,9,"[0.949999988079071, 0.05000000074505806]"
1000,3,51.15%,0.1529,3,"[0.949999988079071, 0.05000000074505806]"
1100,12,54.13%,2.0742,5,"[0.949999988079071, 0.05000000074505806]"
1200,15,57.04%,0.3525,15,"[0.949999988079071, 0.05000000074505806]"
1300,25,60.11%,0.3723,25,"[0.949999988079071, 0.05000000074505806]"
1400,20,62.10%,1.4184,20,"[0.949999988079071, 0.05000000074505806]"
1500,8,64.02%,0.1152,8,"[0.949999988079071, 0.05000000074505806]"
1600,11,65.83%,0.1491,11,"[0.949999988079071, 0.05000000074505806]"
1700,1,67.49%,0.0890,1,"[0.949999988079071, 0.05000000074505806]"
1800,17,69.07%,0.0925,17,"[0.949999988079071, 0.05000000074505806]"
1900,20,70.49%,0.7282,20,"[0.949999988079071, 0.05000000074505806]"
2000,12,71.31%,0.6663,12,"[0.949999988079071, 0.05000000074505806]"
2100,14,72.49%,0.1036,14,"[0.949999988079071, 0.05000000074505806]"
2200,9,73.56%,0.0558,9,"[0.949999988079071, 0.05000000074505806]"
2300,17,74.45%,0.0379,17,"[0.949999988079071, 0.05000000074505806]"
2400,25,75.43%,0.0293,25,"[0.949999988079071, 0.05000000074505806]"
