round,agent_id,metric,value,global_best_loss,t_train,t_delta,t_gossip,t_eval
0,2,loss,4.395326850891113,inf,52.68753691599704,0.002052875002846122,7.441709749400616e-05,76.82629737514071
0,1,loss,4.57364294052124,4.395326850891113,52.05217354209162,0.0027860000263899565,0.0001230419147759676,93.10060662496835
0,0,loss,8.680838176727296,4.395326850891113,53.828979457961395,0.0018652500584721565,4.449998959898949e-05,93.2160751670599
0,4,loss,4.157173412322998,4.395326850891113,54.40420016692951,0.001199999824166298,3.624986857175827e-05,93.48404937516898
0,3,loss,3.082427967071533,4.157173412322998,53.26024574995972,0.0013996660709381104,3.374996595084667e-05,93.62582333409227
1,1,loss,1.0550269985198975,3.082427967071533,18.50422512483783,0.0037842500023543835,0.00037366687320172787,46.43927729106508
1,3,loss,2.4199641189575196,1.0550269985198975,19.116085084155202,0.010937249986454844,0.0006088751833885908,46.444454834097996
1,0,loss,2.108013494491577,1.0550269985198975,20.349921750137582,0.0016887499950826168,5.350005812942982e-05,46.444573665969074
1,4,loss,1.7521422443389894,1.0550269985198975,19.689743333961815,0.0010893328581005335,2.6332912966609e-05,46.44546950003132
1,2,loss,1.346319299697876,1.0550269985198975,20.949116041883826,0.0011910421308130026,3.0499882996082306e-05,46.44594216695987
2,1,loss,1.1114382858276368,1.0550269985198975,16.92273737490177,0.002636499935761094,0.0002227090299129486,44.529983500018716
2,4,loss,1.2780376443862915,1.0550269985198975,18.671648083021864,0.0016821250319480896,3.741704858839512e-05,44.68781670811586
2,3,loss,1.0394361543655395,1.0550269985198975,19.27721683285199,0.0011229999363422394,2.7125002816319466e-05,45.70180774992332
2,0,loss,1.8234415473937988,1.0394361543655395,18.102964041987434,0.001538249896839261,3.420887514948845e-05,45.703044957946986
2,2,loss,0.486990752696991,1.0394361543655395,17.532051041023806,0.0015308749862015247,8.608284406363964e-05,45.70311070908792
3,4,loss,0.8006848592758179,0.486990752696991,16.69375029206276,0.002980249933898449,0.00017754104919731617,45.132796624908224
3,0,loss,0.731579529762268,0.486990752696991,18.57366858306341,0.016161374980583787,5.52500132471323e-05,45.23976179212332
3,2,loss,0.3844442598819733,0.486990752696991,18.576479041017592,0.013430791907012463,4.549999721348286e-05,45.96113987499848
3,1,loss,0.46059711813926696,0.3844442598819733,17.37787445797585,0.04560787486843765,0.00015354203060269356,46.71325804106891
3,3,loss,0.29949910163879395,0.3844442598819733,19.16143724997528,0.0013545840047299862,2.5916146114468575e-05,46.714093666989356
4,2,loss,0.23415868926048278,0.29949910163879395,18.88339745788835,0.002346083987504244,4.270905628800392e-05,45.312047000043094
4,4,loss,0.4322517611980438,0.23415868926048278,17.74647383298725,0.03114412515424192,9.583402425050735e-05,45.33461287501268
4,3,loss,0.3001133277416229,0.23415868926048278,17.186748374952003,0.020820500096306205,8.52921511977911e-05,45.78794295806438
4,0,loss,0.2730501046180725,0.23415868926048278,18.88386245816946,0.0020144579466432333,1.0667135939002037e-05,45.79037858406082
4,1,loss,0.31328730964660645,0.23415868926048278,16.532640166115016,0.003283000085502863,0.00013216701336205006,45.78947437508032
5,4,loss,0.27440787625312807,0.23415868926048278,17.4531965830829,0.0035802910570055246,0.00031075021252036095,46.95477249985561
5,3,loss,0.268704470872879,0.23415868926048278,18.08570041693747,0.39512658305466175,0.00014295801520347595,47.02433154103346
5,0,loss,0.3004788546562195,0.23415868926048278,19.900599000044167,0.0011672500986605883,3.929203376173973e-05,47.115745292045176
5,1,loss,0.2599662044048309,0.23415868926048278,19.31836699997075,0.001082541886717081,4.0833139792084694e-05,47.13895725016482
5,2,loss,0.20380878829956053,0.23415868926048278,19.098058833973482,0.18035595794208348,0.00013366597704589367,47.14804350002669
6,2,loss,0.23088568329811096,0.20380878829956053,19.65759479207918,0.12257754197344184,9.966688230633736e-05,47.06200412497856
6,1,loss,0.2365633246898651,0.20380878829956053,19.598085291916505,0.040071249939501286,0.00022649997845292091,47.08012899989262
6,3,loss,0.2090256623029709,0.20380878829956053,19.83294729096815,0.14035720797255635,7.695797830820084e-05,47.094451416051015
6,0,loss,0.19252812814712525,0.20380878829956053,20.752619249979034,0.0012182500213384628,3.0375085771083832e-05,47.64505229215138
6,4,loss,0.18482864832878113,0.19252812814712525,20.162669875193387,0.0011730000842362642,2.8209062293171883e-05,47.646996167022735
7,4,loss,0.36381917667388913,0.18482864832878113,18.996567624853924,0.001491541974246502,3.624986857175827e-05,44.69266783306375
7,2,loss,0.21095197188854217,0.18482864832878113,18.408189083915204,0.0011315830051898956,6.979191675782204e-05,45.49045291612856
7,1,loss,0.15260472929477692,0.18482864832878113,18.28504383401014,0.02832329203374684,8.562486618757248e-05,45.49115320807323
7,3,loss,0.17672728741168975,0.15260472929477692,16.604591750074178,0.004508834099397063,0.0001844591461122036,45.91731483396143
7,0,loss,0.1385943044424057,0.15260472929477692,17.818879375001416,0.07928354199975729,8.645793423056602e-05,45.918028791900724
8,4,loss,0.2798718357086182,0.1385943044424057,17.83991100010462,0.08191679092124104,7.475004531443119e-05,47.082599790999666
8,0,loss,0.14696752524375917,0.1385943044424057,18.96419154200703,0.001312208827584982,8.312496356666088e-05,47.08662445889786
8,1,loss,0.17378155076503754,0.1385943044424057,19.561541458126158,0.0013126248959451914,3.5082921385765076e-05,47.09062166698277
8,2,loss,0.15016430258750915,0.1385943044424057,17.72448950004764,0.06106525007635355,0.0002401249948889017,47.10097500006668
8,3,loss,0.15079547381401062,0.1385943044424057,18.349238541908562,0.0011659171432256699,3.179209306836128e-05,47.10241166688502
9,1,loss,0.14869948875904082,0.1385943044424057,17.914876291994005,0.013665959006175399,0.0002229579258710146,46.038267167052254
9,3,loss,0.15072390925884246,0.1385943044424057,19.09222716698423,0.004461625125259161,7.591699250042439e-05,46.037786290980875
9,0,loss,0.12656918919086457,0.1385943044424057,19.714441707823426,0.0012122499756515026,4.474981687963009e-05,46.039023416116834
9,2,loss,0.1585487744808197,0.12656918919086457,20.32745199999772,0.0011872921604663134,3.033294342458248e-05,46.040063665946946
9,4,loss,0.16383434522151946,0.12656918919086457,18.494511417113245,0.0015460420399904251,6.716698408126831e-05,46.04118704213761
