0,7,loss,2.1966257
0,4,loss,2.285926
0,3,loss,2.2208827
0,5,loss,2.2437449
0,6,loss,1.9553244
0,8,loss,2.0639567
0,2,loss,2.1100667
0,1,loss,2.176163
0,0,loss,2.113753
0,9,loss,2.0677853
1,7,loss,1.7137175
1,3,loss,1.668361
1,4,loss,1.694503
1,9,loss,1.4232106
1,5,loss,1.6637139
1,8,loss,1.4039693
1,1,loss,1.5506645
1,2,loss,1.4523503
1,6,loss,1.2798034
1,0,loss,1.4156477
2,7,loss,1.108908
2,8,loss,0.8086352
2,9,loss,0.7526469
2,1,loss,0.9039716
2,4,loss,0.941237
2,2,loss,0.8757526
2,0,loss,0.7858509
2,5,loss,1.1248946
2,3,loss,1.0155884
2,6,loss,0.66249657
3,4,loss,0.46362355
3,9,loss,0.377902
3,2,loss,0.47189105
3,7,loss,0.5546526
3,5,loss,0.5919572
3,1,loss,0.45656934
3,6,loss,0.31390184
3,3,loss,0.52350205
3,0,loss,0.37688628
3,8,loss,0.4197744
4,6,loss,0.17231692
4,8,loss,0.22078814
4,1,loss,0.2540326
4,3,loss,0.25916958
4,9,loss,0.19400497
4,4,loss,0.27743173
4,0,loss,0.22135268
4,5,loss,0.27912885
4,2,loss,0.24473695
4,7,loss,0.27993903
5,9,loss,0.13803053
5,7,loss,0.17335328
5,6,loss,0.12533891
5,8,loss,0.16464208
5,2,loss,0.14501974
5,5,loss,0.18304266
5,1,loss,0.18270539
5,0,loss,0.14788635
5,4,loss,0.17165563
5,3,loss,0.15499248
6,6,loss,0.11836914
6,3,loss,0.12373986
6,7,loss,0.13761891
6,1,loss,0.14555362
6,5,loss,0.16566199
6,2,loss,0.10220148
6,4,loss,0.13362928
6,9,loss,0.13065867
6,0,loss,0.118161514
6,8,loss,0.15086962
7,5,loss,0.18400863
7,9,loss,0.13830842
7,6,loss,0.1272235
7,8,loss,0.1527225
7,3,loss,0.12148721
7,0,loss,0.10969084
7,1,loss,0.13097622
7,7,loss,0.12910485
7,2,loss,0.08810961
7,4,loss,0.12247052
8,9,loss,0.16043298
8,1,loss,0.12723024
8,6,loss,0.14060345
8,2,loss,0.090243526
8,7,loss,0.13231498
8,3,loss,0.1304587
8,8,loss,0.14229946
8,4,loss,0.11581572
8,5,loss,0.1906049
8,0,loss,0.11000612
9,9,loss,0.16827695
9,4,loss,0.11788573
9,2,loss,0.10004376
9,7,loss,0.13911161
9,5,loss,0.19872777
9,1,loss,0.13076825
9,3,loss,0.13976966
9,6,loss,0.14295341
9,8,loss,0.13906397
9,0,loss,0.11210911
